一 一壹
丁 丁
七 七柒漆
万 万
丈 丈
三 三叁参
上 上
下 下
不 不
与 与
丐 丐
丑 丑
且 且
丕 丕仳
世 世
丗 世
丘 丘
丙 丙
丞 丞
両 两
並 并
个 个
中 中冢
串 串
丶 丶
丸 丸
丹 丹
主 主
丼 井
丿 丿
乃 乃
久 久
之 之
乍 乍
乎 乎
乏 乏
乕 虎
乖 乖
乗 乘
乘 乘
乙 乙
九 九玖
乞 乞
也 也
乱 乱
乳 乳
乾 乾干
亀 龟
亂 乱
了 了
予 予豫余馀
争 争
亊 事
事 事
二 二贰
于 于於
云 云
互 互
五 五伍
井 井
亘 亘
亙 亘
些 些
亜 亚
亞 亚
亟 亟
亠 亠
亡 亡
亢 亢
交 交
亥 亥
亦 亦
亨 亨
享 享
京 京
亭 亭
亮 亮
亰 京
亳 亳
人 人亻
什 什甚
仁 仁
仂 仂
仄 仄
仆 仆
仇 仇雠
今 今
介 介
仍 仍
从 从
仏 佛
仔 仔
仕 仕
他 他她
仗 仗
付 付
仙 仙
仝 仝同
仞 仞
仟 仟千阡
代 代
令 令
以 以
仭 仞
仮 假
仰 仰
仲 仲
件 件
价 价
任 任
企 企
伉 伉
伊 伊
伍 伍五
伎 伎
伏 伏
伐 伐
休 休
会 会
伝 传
伯 伯
估 估
伴 伴
伶 伶
伸 伸抻
伺 伺
似 似
伽 伽
佃 佃
但 但
佇 伫
位 位
低 低
住 住
佐 佐
佑 佑
体 体
何 何
佗 佗它
余 余予馀
佚 佚
佛 佛
作 作
佝 佝
佞 佞
佩 佩
佯 佯
佰 佰百
佳 佳
併 并
佶 佶
佻 佻
佼 佼
使 使
侃 侃
來 来耒徕
侈 侈
例 例
侍 侍
侏 侏
侑 侑
侖 仑
供 供
依 依
侠 侠
価 价
侫 佞
侭 尽
侮 侮
侯 侯
侵 侵
侶 侣
便 便
係 系
促 促
俄 俄
俊 俊
俎 俎
俐 俐
俑 俑
俗 俗
俘 俘
俚 俚
保 保
俟 俟
信 信
俣 俣
修 修
俯 俯
俳 俳
俸 俸
俺 俺
俾 俾
倆 俩
倉 仓
個 个
倍 倍
倏 倏
們 们
倒 倒
倔 倔
倖 幸囟曰
候 候
倚 倚
借 借藉
倡 倡
倣 仿彷
値 值
倥 倥
倦 倦
倨 倨
倩 倩
倪 倪
倫 伦
倬 倬
倭 倭
倶 俱
倹 俭
偃 偃
假 假
偈 偈
偉 伟
偏 偏
偐 赝
偕 偕
做 做作
停 停仃
健 健
偬 偬
側 侧
偵 侦
偶 偶
偸 偷
偽 伪
傀 傀
傅 傅
傍 傍旁
傑 杰
傘 伞
備 备
傚 效
催 催
傭 佣
傲 傲
傳 传
傴 伛
債 债
傷 伤
傾 倾
僂 偻
僅 仅
僉 佥
僊 仙
働 动仂
像 像象
僑 侨
僕 仆
僖 僖
僚 僚
僞 伪
僣 僭
僥 侥
僧 僧
僭 僭
僮 僮
僵 僵
價 价
僻 僻
儀 仪
儁 俊
儂 侬
億 亿
儉 俭
儒 儒
儔 俦
儕 侪
儘 尽
償 偿
儡 儡酹
優 优
儲 储
儷 俪
儺 傩
儻 傥倘
儼 俨
儿 儿
兀 兀
允 允
元 元
兄 兄
充 充
兆 兆
兇 凶
先 先尖
光 光
克 克
兌 兑
免 免
兎 兔菟
児 儿
兒 儿
兔 兔菟
党 党
兜 兜
兢 兢
入 入
全 全
兩 两
兪 俞
八 八捌
公 公
六 六陆
兮 兮
共 共
兵 兵
其 其丌
具 具
典 典
兼 兼
冀 冀
冂 冂
内 内
円 圆元
冉 冉
冊 册
册 册
再 再
冐 冒
冑 胄
冒 冒
冕 冕本
冖 冖
冗 冗
写 写
冠 冠
冢 冢
冤 冤
冥 冥
冦 寇
冨 富
冩 写
冪 幂
冫 冫冰
冬 冬
冰 冰冫
冱 冱
冲 冲
决 决
冴 冱
况 况
冶 冶
冷 冷
冽 冽洌
凄 凄
凅 涸
准 准淮
凉 凉
凋 凋雕
凌 凌
凍 冻
凖 准
凛 凛懔
凜 凛
凝 凝
几 几
凡 凡
処 处
凭 凭
凰 凰
凱 凯
凵 凵
凶 凶
凸 凸
凹 凹
出 出
函 函
凾 函
刀 刀刂
刃 刃
刄 刃
分 分份
切 切
刈 刈
刊 刊
刋 刊
刎 刎
刑 刑
刔 抉
列 列
初 初
判 判
別 别
刧 劫
利 利
刪 删
刮 刮
到 到
刳 刳
制 制
刷 刷
券 券
刹 刹
刺 刺
刻 刻
剃 剃
剄 刭
則 则
削 削
剋 克
剌 剌
前 前
剔 剔
剖 剖
剛 刚
剞 剞
剣 剑
剤 剂
