一 一壹弌
丁 丁
七 七
万 万卍萬
丈 丈
三 三
上 上
下 下
丌 其
不 不
与 与與
丐 丐
丑 丑醜
专 專専
且 且
丕 丕
世 世丗
丘 丘
丙 丙
业 業
丛 叢
东 東
丝 糸絲
丞 丞
两 兩両
严 嚴厳
丧 喪
个 個箇个
丬 爿
中 中塚
丰 豊豐
串 串
临 臨
丶 丶
丸 丸
丹 丹
为 為爲
主 主
丽 麗
举 舉挙擧
丿 丿
乃 乃迺廼
久 久
乇 虐
么 幼麼幺
义 義
之 之
乌 烏
乍 乍
乎 乎
乏 乏
乐 樂楽
乔 喬
乖 乖
乘 乘乗
乙 乙
九 九玖
乞 乞
也 也
习 習
乡 郷
书 書
乩 稽
买 買
乱 亂乱
乳 乳
乾 乾干幹
了 了暸瞭
予 予余豫
争 爭争
事 事亊
二 二貳弍貮
亍 街
于 于於
亏 於虧
云 云雲
互 互
五 五伍
井 井丼
亘 亙亘
亚 亞亜
些 些
亟 亟
亠 亠
亡 亡
亢 亢
交 交
亥 亥
亦 亦
产 産
亨 亨
亩 畝畆
享 享
京 京亰
亭 亭
亮 亮
亲 榛親
亳 亳
亵 褻
人 人
亻 人
亿 億
什 什甚
仁 仁
仂 仂働
仃 停
仄 仄
仅 僅
仆 仆僕
仇 仇讎讐
今 今
介 介
仍 仍
从 從从従
仑 侖崙崘
仓 倉
仔 仔
仕 仕
他 他
仗 仗
付 付
仙 仙僊
仝 仝同
仞 仞仭
仟 仟千阡韆
代 代
令 令
以 以
仪 儀
们 們
仰 仰
仲 仲
仳 丕
件 件
价 价價価
任 任
份 分彬
仿 彷倣髣
企 企
伉 伉
伊 伊
伍 五伍
伎 伎
伏 伏
伐 伐
休 休
众 衆
优 優
伙 夥
会 會会
伛 傴
伞 傘繖
伟 偉
传 伝傳
伤 傷
伦 倫
伪 偽僞
伫 佇竚
伯 伯
估 估
伴 伴
伶 伶
伸 伸抻
伺 伺
似 似
伽 伽
佃 佃
但 但
位 位
低 低
住 住
佐 佐
佑 佑祐
体 体體躰軆
何 何
佗 佗它
余 予余餘
佚 佚
佛 佛彿仏髴
作 作做
佝 佝
佞 佞侫
佣 傭
佥 僉
佩 佩珮
佬 姆
佯 佯
佰 佰百
佳 佳
佶 佶
佻 佻
佼 佼
使 使
侃 侃
侄 姪
侈 侈
侉 誇
例 例
侍 侍
侏 侏
侑 侑
供 供
依 依
侠 侠
侣 侶
侥 僥
侦 偵
侧 側
侨 僑
侪 儕
侬 儂
侮 侮
侯 侯
侵 侵
便 便
促 促
俄 俄
俊 俊儁
俎 俎爼
俐 俐
俑 俑
俗 俗
俘 俘
俚 俚
保 保
俞 兪
俟 俟竢
信 信
俣 俣
俦 儔
俨 儼
俩 倆
俪 儷
俭 儉倹
修 修脩
俯 俯
俱 倶
俳 俳
俸 俸
俺 俺
俾 俾
倍 倍
倏 倏
倒 倒
倔 倔
倘 儻
候 候
倚 倚
借 借藉
倡 倡
倥 倥
倦 倦劵
倨 倨
倩 倩
倪 倪
倬 倬
倭 倭
债 債
值 値
倾 傾
偃 偃
假 假仮
偈 偈
偎 隈
偏 偏
偕 偕
做 做
停 停
健 健
偬 偬
偶 偶
偷 偸
偻 僂
偿 償
傀 傀
傅 傅
傍 傍旁
傥 儻
储 儲
傩 儺
催 催
傲 傲
像 像象
僖 僖
僚 僚
僧 僧
僭 僭僣
僮 僮
僵 僵
僻 僻
儆 警
儒 儒
儡 儡
儿 儿兒児
兀 兀
允 允
元 元円
兄 兄
充 充
兆 兆
先 先
光 光
克 克剋尅
免 免
兑 兌
兔 兔菟兎莵
党 党黨
兜 兜
兢 兢
入 入
全 全
八 八捌
公 公
六 六陸
兮 兮
兰 蘭
共 共
关 寡關関
兴 興
兵 兵
其 其
具 具
典 典
兹 茲
养 養
兼 兼
兽 獸獣
冀 冀
冂 冂
内 内
冈 岡崗堽
冉 冉
册 冊册
再 再
冒 冒冐
冕 冕
冖 冖
冗 冗
写 寫写冩
军 軍
农 農
冠 冠
冢 中冢塚
冤 冤寃
冥 冥
冫 冰冫氷
冬 冬鼕
冯 馮
冰 冰冫氷
冱 冱沍冴
冲 沖衝冲
决 決决
况 湟況况
冶 冶
冷 冷
冻 凍
冽 冽洌
净 淨浄
凄 凄悽淒
准 准準凖
凉 涼凉
凋 凋雕
凌 凌
减 減
凑 湊
凛 凜凛
凝 凝
几 几幾
凡 凡
凤 鳳
凫 鳧鳬
凭 憑凭
凯 凱
凰 凰
凵 凵
凶 凶兇
凸 凸
凹 凹
出 出齣
击 撃
凼 幽
函 函凾
凿 鑿
刀 刀
刂 刀
刃 刃刄
分 分
切 切
刈 刈苅
刊 刊刋
刍 芻蒭
刎 刎
刑 刑
划 劃畫画
列 列
刘 劉
则 則
刚 剛
创 創
初 初
删 刪
判 判
刨 鉋
利 利
别 別
刭 剄
刮 刮
到 到
刳 刳
制 制製
刷 刷
券 券劵
刹 刹
刺 刺
刻 刻
剀 剴
剂 劑剤
剃 剃薙
削 削
剌 剌
前 前
